"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Oct 26 16:55:15 MSK 2022","Wed Oct 26 16:55:34 MSK 2022","19167","","gog","","gog","gog","gog","null"
"broken","Wed Oct 26 16:55:15 MSK 2022","Wed Oct 26 16:55:34 MSK 2022","19155","","gog","","gog","sc1","sc1","null

null"
